Route Name;Driver Company;Price/km;Avg.Price/km;Type;Neto;Adds;Provision;Final;Km;
Nice Airport - Cannes;BLUE CAPITAL INVESTMENT;4;0;0;55.00;0.00;38.60;76.23;29;
Nice Airport - Cannes;BLUE CAPITAL INVESTMENT;8;0;0;65.00;0.00;38.60;90.09;29;
Nice Airport - Cannes;BLUE CAPITAL INVESTMENT;12;0;0;0.00;0.00;38.60;0.00;29;
Nice Airport - Cannes;BLUE CAPITAL INVESTMENT;45;0;0;0.00;0.00;38.60;0.00;29;
Nice Airport - Cannes;BLUE CAPITAL INVESTMENT;15;0;0;0.00;0.00;38.60;0.00;29;
Nice Airport - Cannes;<button data-ownerid='843' data-vehicletype='4' data-driverprice='57.3' class='selectowner' type='button'>J.a.m group Nica</button>;4;0;0;53.55;3.75;19.60;<button data-ownerid='843' data-vehicletype='4' data-driverprice='57.3' data-price='68.53' class='selectprice' type='button'>68.53</button>;29;
Nice Airport - Cannes;<button data-ownerid='843' data-vehicletype='8' data-driverprice='80.33' class='selectowner' type='button'>J.a.m group Nica</button>;8;0;0;63.75;16.58;19.60;<button data-ownerid='843' data-vehicletype='8' data-driverprice='80.33' data-price='96.07' class='selectprice' type='button'>96.07</button>;29;
Nice Airport - Cannes;<button data-ownerid='843' data-vehicletype='16' data-driverprice='176.69' class='selectowner' type='button'>J.a.m group Nica</button>;16;0;0;140.23;36.46;10.60;<button data-ownerid='843' data-vehicletype='16' data-driverprice='176.69' data-price='195.42' class='selectprice' type='button'>195.42</button>;29;
Nice Airport - Cannes;<button data-ownerid='843' data-vehicletype='104' data-driverprice='80.96' class='selectowner' type='button'>J.a.m group Nica</button>;104;0;0;64.25;16.71;17.60;<button data-ownerid='843' data-vehicletype='104' data-driverprice='80.96' data-price='95.21' class='selectprice' type='button'>95.21</button>;29;
Nice Airport - Cannes;<button data-ownerid='843' data-vehicletype='108' data-driverprice='96.38' class='selectowner' type='button'>J.a.m group Nica</button>;108;0;0;76.49;19.89;17.60;<button data-ownerid='843' data-vehicletype='108' data-driverprice='96.38' data-price='113.34' class='selectprice' type='button'>113.34</button>;29;
